MCNo,Event Number,Rating (0-3),E1 (GeV),px1 (GeV/c),py1 (GeV/c),pz1 (GeV/c),E2 (GeV),px2 (GeV/c),py2 (GeV/c),pz2 (GeV/c)
211,1024700872,0,19.0715,5.28911,-1.06512,18.2922,3.55092,0.938844,0.745106,3.34085
212,1024739774,2,7.7832,1.59098,2.08047,7.32853,4.32345,-1.01735,0.452395,4.17629
213,1024917311,1,5.88085,-2.21519,0.676705,-5.40446,5.53827,-0.448232,-1.07103,-5.41418
214,1024967725,0,31.4873,5.9092,1.35196,-30.8981,2.8469,0.267106,0.696161,-2.74549
215,1024997458,0,14.6366,-2.64414,-1.55733,14.3109,7.30485,1.16447,-0.99617,7.14153
216,1025047091,0,9.67327,-1.52527,-1.37452,-9.45226,4.20095,1.23995,-0.196994,-4.00756
217,1025051426,2,22.1045,-4.30177,1.35431,-21.6393,6.47618,0.91172,-1.19895,-6.2977
218,1025085422,1,8.9674,-0.864544,-3.18484,-8.33741,3.55906,1.04946,-0.379784,-3.37789
219,1025104048,3,7.39743,3.8665,-0.319783,-6.29752,6.96399,2.97803,-3.62463,-5.14582
220,1025109635,1,10.6343,-1.18222,-1.56034,-10.452,5.47575,-1.12081,1.73259,-5.07095
221,1025140121,2,7.59734,-1.99802,-2.36121,-6.93837,5.10667,1.557,-1.85357,-4.49522
222,1025150882,2,11.5427,1.78247,-1.44034,-11.3124,4.45135,-0.727819,-1.782,-4.01225
223,1025160909,2,9.03419,3.84672,-3.1461,7.54389,5.33091,1.75511,-3.27097,3.82464
224,1025164293,2,11.0973,1.32921,1.52493,-10.9109,3.26419,1.0552,-0.771851,-2.98907
225,1025188518,2,21.6833,2.10241,-4.88573,-21.0206,7.2691,1.56908,-0.874147,-7.0429
226,1025198814,2,10.3234,1.6314,-1.22281,10.1195,5.03828,-1.12895,0.177228,4.90582
227,1025273961,0,14.1437,-0.390778,2.70695,-13.8763,5.88868,-0.89115,-1.69153,-5.56865
228,1025293812,2,9.33828,-1.13972,-1.72471,-9.10597,6.31579,-1.84548,0.643671,-6.00482
229,1025320144,0,3.90562,-3.64241,0.130928,1.39941,6.38515,-1.12324,2.48738,5.7715
230,1025331106,0,7.94814,0.00259303,-1.67895,-7.76807,11.3961,-2.4251,-0.234403,-11.1321
231,1025354094,2,4.70714,-2.15135,-3.46512,2.34748,3.8688,-1.30912,0.0239979,3.63896
232,1025362477,2,8.3316,2.2109,1.98262,7.78368,4.56366,-1.07877,0.82333,4.35593
233,1025400782,2,10.869,-0.833839,4.43917,9.88547,4.26625,-0.920175,0.0356275,4.16435
234,1025405344,0,7.41634,1.12976,3.18532,6.60063,3.03513,1.33215,-0.136314,2.7217
235,1025417253,1,6.87252,0.734845,1.21143,-6.72405,3.83828,0.559781,-1.10384,-3.63172
236,1025485636,2,28.624,7.7066,1.09116,-27.5452,7.66855,1.80092,-1.42901,-7.31506
237,1025487495,2,15.1857,-2.62506,-3.07072,14.6381,5.46048,-1.28144,0.530416,5.28037
238,1025489129,1,6.69983,1.79464,0.851153,6.39776,5.98207,-0.310558,1.25295,5.84018
239,1025522919,2,23.3642,-2.40221,5.00821,22.6941,5.65531,-1.45019,-0.277261,5.45815
240,1025545456,2,10.0457,0.792901,-1.74594,9.86039,3.92221,1.39024,-0.0798006,3.66516
241,1025573990,2,7.27826,1.69936,0.612867,7.04971,5.17231,-0.436228,1.34571,4.97397
242,1025587443,2,9.16951,-0.850431,2.01539,-8.90414,4.32289,1.43965,-0.563544,-4.0356
243,1025597599,2,8.16103,1.86862,1.86424,-7.72166,8.83067,-1.60312,-0.992483,-8.62639
244,1025649118,2,13.5504,-0.872744,-2.27919,-13.3284,9.57884,2.04434,-0.36594,-9.35038
245,1025665900,0,7.75484,0.891101,1.36386,-7.58104,3.77889,-1.07617,0.383555,-3.6005
246,1025668977,2,8.29024,1.10978,2.99943,7.64779,2.72838,-1.21423,0.472662,2.39481
247,1025712004,2,15.243,0.768247,-3.19309,14.8846,6.60773,1.838,-0.619788,6.31574
248,1025744374,0,5.24489,-3.90759,1.70924,-3.05072,3.38934,-0.325609,0.69521,-3.29956
249,1025776623,2,6.73252,-2.49976,0.587327,-6.22269,23.1292,-3.02956,9.06554,-21.0615
250,1025781152,1,6.16954,-0.990635,-1.03847,-5.99936,10.1444,0.914171,-2.60351,-9.76138
251,1025795216,0,12.1769,-0.885198,-2.39149,11.9064,2.87636,-1.22082,-0.390807,2.57277
252,1025796302,1,6.93665,2.37858,-0.281431,-6.50915,5.18331,0.23172,1.04525,-5.07043
253,1025805070,1,5.00026,-1.65868,1.59169,4.43923,5.10092,-0.819239,-0.780462,4.97272
254,1025807729,0,6.7786,1.33763,1.29763,6.51653,3.20873,-0.889254,-0.978135,2.92186
255,1025848026,2,10.5517,0.280873,-2.55502,-10.2333,3.59063,-1.15612,-0.603943,-3.34367
